TimeStamp;UserId;NameVideo;AnnoType;Value
0.0273522;3870;lollo_mp4;arousal;0
0.077357;3870;lollo_mp4;arousal;0
0.1111116;3870;lollo_mp4;arousal;0
0.1463564;3870;lollo_mp4;arousal;0
0.1943277;3870;lollo_mp4;arousal;0
0.2296362;3870;lollo_mp4;arousal;0
0.2774974;3870;lollo_mp4;arousal;0
0.3128152;3870;lollo_mp4;arousal;0
0.3467557;3870;lollo_mp4;arousal;0
0.3963782;3870;lollo_mp4;arousal;0
0.4296313;3870;lollo_mp4;arousal;0
0.4793424;3870;lollo_mp4;arousal;0
0.5131686;3870;lollo_mp4;arousal;0
0.5636284;3870;lollo_mp4;arousal;0
0.5961758;3870;lollo_mp4;arousal;0
0.6296239;3870;lollo_mp4;arousal;0
0.6774763;3870;lollo_mp4;arousal;0
0.7113516;3870;lollo_mp4;arousal;0
0.7464491;3870;lollo_mp4;arousal;0
0.7942816;3870;lollo_mp4;arousal;0
0.8276674;3870;lollo_mp4;arousal;0
0.877681;3870;lollo_mp4;arousal;0
0.9111486;3870;lollo_mp4;arousal;0
0.946633;3870;lollo_mp4;arousal;0
0.9943411;3870;lollo_mp4;arousal;0
1.031917;3870;lollo_mp4;arousal;0
1.0774897;3870;lollo_mp4;arousal;0
1.1109617;3870;lollo_mp4;arousal;0
1.146622;3870;lollo_mp4;arousal;0
1.194191;3870;lollo_mp4;arousal;-0.004
1.2300409;3870;lollo_mp4;arousal;-0.004
1.2870504;3870;lollo_mp4;arousal;-0.079
1.3160883;3870;lollo_mp4;arousal;-0.164
1.3482814;3870;lollo_mp4;arousal;-0.241
1.3914467;3870;lollo_mp4;arousal;-0.326
1.4320119;3870;lollo_mp4;arousal;-0.391
1.4827306;3870;lollo_mp4;arousal;-0.47
1.5163035;3870;lollo_mp4;arousal;-0.513
1.5536687;3870;lollo_mp4;arousal;-0.549
1.5982898;3870;lollo_mp4;arousal;-0.594
1.6314994;3870;lollo_mp4;arousal;-0.625
1.6816334;3870;lollo_mp4;arousal;-0.648
1.7150721;3870;lollo_mp4;arousal;-0.675
1.7477635;3870;lollo_mp4;arousal;-0.713
1.7970918;3870;lollo_mp4;arousal;-0.772
1.8313952;3870;lollo_mp4;arousal;-0.81
1.8803769;3870;lollo_mp4;arousal;-0.848
1.9137162;3870;lollo_mp4;arousal;-0.859
1.9476745;3870;lollo_mp4;arousal;-0.882
2.0015097;3870;lollo_mp4;arousal;-0.976
2.030741;3870;lollo_mp4;arousal;-1
2.0784526;3870;lollo_mp4;arousal;-1
2.114032;3870;lollo_mp4;arousal;-1
2.1463388;3870;lollo_mp4;arousal;-1
2.1965812;3870;lollo_mp4;arousal;-1
2.2302259;3870;lollo_mp4;arousal;-1
2.2781915;3870;lollo_mp4;arousal;-1
2.3136811;3870;lollo_mp4;arousal;-1
2.3467373;3870;lollo_mp4;arousal;-1
2.3963294;3870;lollo_mp4;arousal;-1
2.4296983;3870;lollo_mp4;arousal;-1
2.4796911;3870;lollo_mp4;arousal;-1
2.5141812;3870;lollo_mp4;arousal;-1
2.5640893;3870;lollo_mp4;arousal;-1
2.5970838;3870;lollo_mp4;arousal;-1
2.6305836;3870;lollo_mp4;arousal;-1
2.6775006;3870;lollo_mp4;arousal;-1
2.7107405;3870;lollo_mp4;arousal;-1
2.7636768;3870;lollo_mp4;arousal;-1
2.7940169;3870;lollo_mp4;arousal;-1
2.8274906;3870;lollo_mp4;arousal;-1
2.8773437;3870;lollo_mp4;arousal;-1
2.9108228;3870;lollo_mp4;arousal;-1
2.9607934;3870;lollo_mp4;arousal;-1
2.994128;3870;lollo_mp4;arousal;-1
3.0273636;3870;lollo_mp4;arousal;-1
3.0773857;3870;lollo_mp4;arousal;-1
3.111114;3870;lollo_mp4;arousal;-1
3.1460387;3870;lollo_mp4;arousal;-1
3.194392;3870;lollo_mp4;arousal;-1
3.2297414;3870;lollo_mp4;arousal;-1
3.2799922;3870;lollo_mp4;arousal;-1
3.3106892;3870;lollo_mp4;arousal;-1
3.3473346;3870;lollo_mp4;arousal;-1
3.394156;3870;lollo_mp4;arousal;-1
3.4299586;3870;lollo_mp4;arousal;-1
3.4800119;3870;lollo_mp4;arousal;-1
3.514003;3870;lollo_mp4;arousal;-1
3.5474358;3870;lollo_mp4;arousal;-0.859
3.5973673;3870;lollo_mp4;arousal;-0.616
3.6310395;3870;lollo_mp4;arousal;-0.486
3.6854559;3870;lollo_mp4;arousal;-0.349
3.7154169;3870;lollo_mp4;arousal;-0.312
3.7481607;3870;lollo_mp4;arousal;-0.286
3.7980389;3870;lollo_mp4;arousal;-0.225
3.8318292;3870;lollo_mp4;arousal;-0.182
3.866125;3870;lollo_mp4;arousal;-0.148
3.9156029;3870;lollo_mp4;arousal;-0.094
3.9480614;3870;lollo_mp4;arousal;-0.052
3.9976746;3870;lollo_mp4;arousal;0.004
4.0321113;3870;lollo_mp4;arousal;0.034
