Frame;TimeStamp;Value
0;0.019915;0.0
1;0.019915;0.0
2;0.053534;0.0
3;0.095731;0.0
4;0.127903;0.0
5;0.171166;0.0
6;0.213568;0.0
7;0.256622;0.0
8;0.288925;0.0
9;0.333741;0.0
10;0.372843;0.0
11;0.418657;0.0
12;0.44777;0.0
13;0.493446;0.0
14;0.535915;0.0
15;0.57599;0.0
16;0.608295;0.0
17;0.65086;0.0
18;0.693528;0.0
19;0.736378;0.0
20;0.768389;0.0
21;0.810455;0.0
22;0.853489;0.0
23;0.895891;0.0
24;0.92784;0.0
25;0.97136;0.0
26;1.013019;0.0
27;1.056101;0.0
28;1.088336;0.0
29;1.130881;0.0
30;1.174295;0.0
31;1.215739;0.0
32;1.248302;0.0
33;1.290655;0.0
34;1.333344;0.0
35;1.376148;0.0
36;1.408207;0.0
37;1.450688;-0.003
38;1.493521;-0.003
39;1.535967;-0.003
40;1.567733;-0.003
41;1.610408;-0.003
42;1.654522;-0.003
43;1.698222;-0.002
44;1.728235;-0.002
45;1.771062;-0.002
46;1.813603;-0.002
47;1.855685;-0.002
48;1.887749;-0.002
49;1.93146;-0.002
50;1.973867;-0.002
51;2.015858;-0.002
52;2.048562;-0.002
53;2.090581;-0.002
54;2.133209;-0.002
55;2.175517;-0.002
56;2.209061;-0.002
57;2.251695;0.0005
58;2.294136;0.0005
59;2.336147;0.0005
60;2.368749;0.0005
61;2.411732;0.0005
62;2.453887;0.0005
63;2.496608;0.0014999999999999996
64;2.527866;0.0014999999999999996
65;2.571041;0.0014999999999999996
66;2.614035;0.0014999999999999996
67;2.656883;0.0014999999999999996
68;2.68809;0.0014999999999999996
69;2.730666;0.0014999999999999996
70;2.773087;0.0014999999999999996
71;2.816698;0.0014999999999999996
72;2.848624;0.0014999999999999996
73;2.890751;0.0014999999999999996
74;2.933238;0.0014999999999999996
75;2.976418;0.0005
76;3.007585;-0.0095
77;3.050933;-0.0155
78;3.093982;-0.0155
79;3.136558;-0.0155
80;3.168263;-0.0075
81;3.212305;-0.0005
82;3.256337;0.003
83;3.295906;0.004
84;3.328539;0.005
85;3.370647;0.005999999999999999
86;3.414117;0.005999999999999999
87;3.456745;0.005999999999999999
88;3.488791;0.005999999999999999
89;3.531978;0.007
90;3.573614;0.007
91;3.616087;0.0085
92;3.648591;0.0115
93;3.69103;0.012
94;3.736942;0.014000000000000002
95;3.776693;0.015
96;3.807934;0.015
97;3.851091;0.015
98;3.893378;0.015
99;3.935654;0.016
100;3.968242;0.0165
101;4.011417;0.0185
102;4.053666;0.0205
103;4.096867;0.024
104;4.128589;0.026000000000000002
105;4.171491;0.026500000000000003
106;4.216645;0.0285
