Frame;TimeStamp;Value
0;0.516288;0
1;0.520567;0
2;0.557088;0
3;0.600044;0
4;0.632188;0
5;0.675076;0
6;0.717766;0
7;0.760204;0
8;0.793248;0
9;0.834315;0
10;0.877119;0
11;0.920046;0
12;0.952436;0
13;0.994448;0
14;1.038463;0
15;1.080407;0
16;1.112971;0
17;1.154842;0
18;1.197793;0
19;1.240938;0
20;1.27198;0
21;1.314703;0
22;1.357998;0
23;1.401102;0
24;1.434222;0
25;1.474488;0
26;1.518134;0
27;1.560056;0
28;1.593066;0
29;1.634926;0
30;1.687992;-0.008
31;1.719935;-0.008
32;1.752525;-0.008
33;1.795318;-0.008
34;1.83762;-0.008
35;1.881139;-0.008
36;1.916006;-0.008
37;1.954807;-0.008
38;1.997075;-0.008
39;2.040485;-0.008
40;2.071846;-0.008
41;2.115191;-0.008
42;2.157667;-0.008
43;2.200107;-0.008
44;2.232274;-0.008
45;2.274856;-0.008
46;2.317108;-0.008
47;2.362433;-0.088
48;2.392052;-0.259
49;2.435519;-0.352
50;2.47722;-0.401
51;2.519923;-0.525
52;2.552644;-0.621
53;2.594571;-0.621
54;2.637651;-0.499
55;2.679959;-0.223
56;2.711949;-0.057
57;2.75489;0.038
58;2.79811;0.016
59;2.840952;-0.148
60;2.872178;-0.565
61;2.915384;-0.761
62;2.957103;-0.792
63;3.000035;-0.729
64;3.032348;-0.383
65;3.075561;0.079
66;3.117197;0.154
67;3.160603;0.049
68;3.193132;-0.159
69;3.235746;-0.434
70;3.277414;-0.465
71;3.320194;-0.414
72;3.354962;-0.235
73;3.395389;-0.19
74;3.438597;-0.192
75;3.480057;-0.437
76;3.515954;-0.474
77;3.554997;-0.476
78;3.597588;-0.441
79;3.639696;-0.383
80;3.672241;-0.363
81;3.715516;-0.363
82;3.757405;-0.363
83;3.800719;-0.363
84;3.836157;-0.363
85;3.874459;-0.366
86;3.917857;-0.366
87;3.960309;-0.366
88;3.992321;-0.366
89;4.035063;-0.366
90;4.078385;-0.366
91;4.120142;-0.366
92;4.152753;-0.366
93;4.194657;-0.366
94;4.237496;-0.366
95;4.27981;-0.366
96;4.312779;-0.366
97;4.355147;-0.366
98;4.397712;-0.366
99;4.440024;-0.366
100;4.472337;-0.366
101;4.515039;-0.366
102;4.558015;-0.366
103;4.600283;-0.366
104;4.633219;-0.366
105;4.675211;-0.366
106;4.7186;-0.366
107;4.761001;-0.366
108;4.792687;-0.366
109;4.835945;-0.366
110;4.877667;-0.366
111;4.920944;-0.366
112;4.95255;-0.366
113;4.995616;-0.366
114;5.038191;-0.366
115;5.080624;-0.366
116;5.112238;-0.366
117;5.154584;-0.366
118;5.197482;-0.366
119;5.240211;-0.366
120;5.272658;-0.366
121;5.314724;-0.366
122;5.357871;-0.366
123;5.400593;-0.366
124;5.435984;-0.366
125;5.475058;-0.366
126;5.517835;-0.366
127;5.560237;-0.366
128;5.592908;-0.366
129;5.634868;-0.366
130;5.678169;-0.366
131;5.720648;-0.366
132;5.752397;-0.366
133;5.795358;-0.366
134;5.837451;-0.366
135;5.88105;-0.366
136;5.912851;-0.366
137;5.956086;-0.366
138;5.998001;-0.366
139;6.041311;-0.366
140;6.072213;-0.396
141;6.114789;-0.501
142;6.158156;-0.612
143;6.200686;-0.65
144;6.236072;-0.738
145;6.274612;-0.738
146;6.31783;-0.738
147;6.360544;-0.738
148;6.392868;-0.738
149;6.434934;-0.738
150;6.477928;-0.738
151;6.520515;-0.738
152;6.554754;-0.719
153;6.595223;-0.716
154;6.637622;-0.716
155;6.679913;-0.716
156;6.714396;-0.739
157;6.757968;-0.805
158;6.797598;-0.827
159;6.840299;-0.832
160;6.872493;-0.84
161;6.914836;-0.865
162;6.957518;-0.865
163;7.000154;-0.865
164;7.032102;-0.865
165;7.074805;-0.87
166;7.117905;-0.878
167;7.167552;-0.896
168;7.193113;-0.916
169;7.234516;-0.918
170;7.277974;-0.92
171;7.320086;-0.889
172;7.355905;-0.688
173;7.396065;-0.463
174;7.437714;-0.204
175;7.479808;0.156
176;7.513789;0.309
177;7.55476;0.544
178;7.598043;0.687
179;7.640582;0.738
180;7.672029;0.796
181;7.715014;0.837
182;7.758562;0.913
183;7.800016;0.968
184;7.836212;0.98
185;7.874609;0.98
186;7.91835;0.98
187;7.962154;0.969
188;7.991771;0.933
189;8.035265;0.746
190;8.077422;0.345
191;8.121015;0.09
192;8.154264;-0.19
193;8.194961;-0.306
194;8.237753;-0.366
195;8.280566;-0.534
196;8.315974;-0.696
197;8.35672;-0.976
198;8.398461;-1
199;8.439872;-1
200;8.472432;-1
201;8.514848;-1
202;8.558109;-1
203;8.599699;-0.812
204;8.632421;-0.443
205;8.674718;0.118
206;8.717731;0.394
207;8.761991;0.622
208;8.792268;0.671
209;8.834733;0.68
210;8.878214;0.702
211;8.921005;0.718
212;8.953253;0.716
213;8.99512;0.667
214;9.037321;0.494
215;9.07992;0.061
216;9.113106;-0.241
217;9.156061;-0.419
218;9.197094;-0.445
219;9.240955;-0.445
220;9.272599;-0.357
221;9.314572;-0.148
222;9.357637;0.347
223;9.400416;0.724
224;9.43211;0.924
225;9.475404;0.964
226;9.517578;0.909
227;9.561714;0.442
228;9.592472;-0.008
229;9.635368;-0.366
230;9.677022;-0.676
231;9.719999;-0.692
232;9.753014;-0.683
233;9.794632;-0.543
234;9.837269;-0.297
235;9.880823;0.211
236;9.912836;0.514
237;9.95487;0.605
238;9.99751;0.571
239;10.04081;0.305
240;10.071937;-0.497
241;10.1147;-0.838
242;10.158969;-0.909
243;10.200684;-0.87
244;10.2365;-0.472
245;10.274545;-0.17
246;10.317424;0.019
247;10.359829;0.16
248;10.39211;0.154
249;10.434757;0.099
250;10.47712;-0.062
251;10.520132;-0.283
252;10.552767;-0.552
253;10.59508;-0.559
254;10.637269;-0.527
255;10.679878;-0.032
256;10.712049;0.312
257;10.755282;0.605
258;10.797863;0.613
259;10.843594;0.458
260;10.872501;0.072
261;10.915091;-0.252
262;10.957291;-0.416
263;11.0001;-0.375
264;11.031872;-0.057
265;11.074551;0.482
266;11.117763;0.676
267;11.162024;0.711
268;11.192356;0.447
269;11.2344;-0.073
270;11.277273;-0.585
271;11.319845;-0.599
272;11.353307;-0.237
273;11.394566;0.391
274;11.43749;0.833
275;11.480147;0.978
276;11.514268;0.78
277;11.556604;0.021
278;11.598036;-0.264
279;11.644843;-0.31
280;11.671713;-0.082
281;11.714726;0.265
282;11.760621;0.625
283;11.800659;0.645
284;11.831872;0.54
285;11.875047;-0.041
286;11.917665;-0.377
287;11.962126;-0.396
288;11.995002;-0.081
289;12.034599;0.345
290;12.07763;0.751
291;12.12059;0.786
292;12.1544;0.582
293;12.194851;0.252
294;12.237423;0.134
295;12.280005;0.291
296;12.313581;0.574
297;12.356247;0.722
298;12.397868;0.625
