Frame;TimeStamp;Value
0;0.0266875;0
1;0.0600417;0
2;0.1098958;0
3;0.1434791;0
4;0.1770208;0
5;0.226875;0
6;0.2600208;0
7;0.3100625;0
8;0.3438334;0
9;0.3766667;0
10;0.4266459;0
11;0.4601668;0
12;0.5102293;0
13;0.543396;0
14;0.5933336;0
15;0.6266044;0
16;0.6601253;-0.003
17;0.710042;-0.003
18;0.7436254;0.006
19;0.7765212;0.029
20;0.8265421;0.077
21;0.860063;0.102
22;0.9099588;0.117
23;0.9433964;0.135
24;0.9941047;0.147
25;1.0266673;0.157
26;1.0600006;0.157
27;1.1098757;0.16
28;1.1433132;0.164
29;1.1932299;0.164
30;1.2264799;0.166
31;1.2598549;0.169
32;1.3098133;0.177
33;1.3431883;0.184
34;1.3931884;0.186
35;1.4264801;0.187
36;1.4597926;0.187
37;1.5099801;0.187
38;1.5432718;0.189
39;1.5934802;0.189
40;1.6266469;0.189
41;1.6599802;0.189
42;1.7099386;0.189
43;1.7437511;0.197
44;1.7765637;0.209
45;1.8264595;0.226
46;1.8598971;0.231
47;1.9099596;0.238
48;1.9432721;0.251
49;1.9765638;0.264
50;2.0266472;0.266
51;2.0599597;0.266
52;2.1100223;0.267
53;2.1434598;0.271
54;2.2171473;0.271
55;2.2391057;0.275
56;2.2608974;0.28
57;2.2970016;0.289
58;2.3433974;0.306
59;2.37671;0.32
60;2.4271683;0.324
61;2.461835;0.326
62;2.5100434;0.327
63;2.5456268;0.327
64;2.5766685;0.327
65;2.6267935;0.327
66;2.6600644;0.327
67;2.7099186;0.327
68;2.7439394;0.327
69;2.7764603;0.327
70;2.8264603;0.327
71;2.8599812;0.327
72;2.9100646;0.327
73;2.9433562;0.327
74;2.9774604;0.327
75;3.0265021;0.327
76;3.0600647;0.327
77;3.1098355;0.327
78;3.1436064;0.327
79;3.1765648;0.327
80;3.2265231;0.327
81;3.2598982;0.327
82;3.3098982;0.327
83;3.3442941;0.327
84;3.3766691;0.327
85;3.4265233;0.327
86;3.4600025;0.327
87;3.510065;0.327
88;3.5432734;0.327
89;3.5765026;0.327
90;3.6264609;0.327
91;3.6600235;0.327
92;3.7098568;0.327
93;3.7436902;0.327
94;3.7769819;0.327
95;3.8266278;0.327
96;3.8600236;0.327
97;3.9099403;0.327
98;3.9432529;0.327
99;3.9766904;0.327
100;4.0269196;0.327
101;4.0602113;0.327
102;4.1098988;0.327
103;4.1432114;0.327
104;4.1765864;0.327
105;4.2267114;0.327
106;4.2607531;0.327
107;4.310649;0.327
108;4.3439823;0.327
109;4.3765032;0.327
110;4.4266074;0.327
111;4.4601074;0.327
112;4.5098575;0.327
113;4.5434617;0.327
114;4.5769409;0.327
115;4.6264826;0.327
116;4.6599409;0.327
117;4.7099618;0.327
118;4.7435243;0.327
119;4.7765243;0.327
120;4.8265036;0.327
121;5.5199624;0.327
122;6.5044215;0.327
123;7.5058806;0.327
124;8.5057773;0.327
125;9.5058614;0.327
126;10.5059038;0.327
127;11.5058629;0.327
128;12.5054679;0.327
129;13.5070728;0.327
130;14.5075111;0.327
131;15.5091993;0.327
132;16.5109918;0.327
133;17.5109509;0.327
134;18.5117225;0.327
135;19.5122858;0.327
136;20.5131407;0.327
137;21.5128707;0.327
138;22.5123506;0.327
139;23.5128306;0.327
140;24.5128939;0.327
141;25.512978;0.327
142;26.5128954;0.326
143;27.1779584;0.326
144;27.2262502;0.326
145;27.2594793;0.338
146;27.3097294;0.373
147;27.3430211;0.433
148;27.3757919;0.447
149;27.4257295;0.449
150;27.4596045;0.453
151;27.5093962;0.477
152;27.5425421;0.493
153;27.5757088;0.502
154;27.6257088;0.502
155;27.659063;0.502
156;27.7090839;0.502
157;27.7424797;0.502
158;27.7757714;0.502
159;27.8257506;0.502
160;27.8591048;0.502
161;27.9093549;0.502
162;27.9424799;0.502
163;27.9758757;0.502
164;28.0262091;0.502
165;28.059105;0.502
166;28.1093133;0.502
167;28.1427509;0.502
168;28.1768759;0.502
169;28.2263968;0.502
170;28.259626;0.502
171;28.3137302;0.502
172;28.3448552;0.502
173;28.3771261;0.502
174;28.4260219;0.502
175;28.4608136;0.502
176;28.5110845;0.502
177;28.5425637;0.502
178;28.5757095;0.502
179;28.6259804;0.502
180;28.6593763;0.502
181;28.7095638;0.502
182;28.7424597;0.502
183;28.7758347;0.502
184;28.8256472;0.502
185;28.8591264;0.502
186;28.9092306;0.502
187;28.9424807;0.502
188;28.9757724;0.502
189;29.0259599;0.502
190;29.0603558;0.502
191;29.1095641;0.502
192;29.1425433;0.502
193;29.1756267;0.502
194;29.2258559;0.502
195;29.2596684;0.502
196;29.3092518;0.502
197;29.3423351;0.502
198;29.3756477;0.502
199;29.4257935;0.502
200;29.4591061;0.502
201;29.5090644;0.502
202;29.5424603;0.502
203;30.5148152;0.502
204;31.5145243;0.502
205;32.515296;0.502
206;33.5165467;0.502
207;34.5168808;0.502
208;35.5167566;0.502
