Frame;TimeStamp;Value
0;0.01;0
1;0.0404167;0
2;0.0905625;0
3;0.1236667;0
4;0.173625;0
5;0.2077708;0
6;0.2404166;0
7;0.290375;0
8;0.3237292;0
9;0.3737709;0
10;0.4070209;0
11;0.4403543;0
12;0.4904377;0
13;0.5237085;0
14;0.5738336;0
15;0.6070836;0
16;0.6403545;0
17;0.690417;0
18;0.7244587;0
19;0.7737712;0
20;0.8069587;0
21;0.8402088;0
22;0.8905421;0
23;0.9236047;0
24;0.9747922;0
25;1.0071672;0
26;1.0403964;0
27;1.0902923;0
28;1.123709;0
29;1.1736882;0
30;1.2071257;0
31;1.2403758;0
32;1.29023;0
33;1.3237925;0
34;1.3739384;0
35;1.40698;-0.011
36;1.4402509;-0.011
37;1.4904593;-0.011
38;1.5237301;-0.011
39;1.573751;-0.011
40;1.6069177;-0.023
41;1.6403552;-0.067
42;1.6904386;-0.098
43;1.7241886;-0.127
44;1.7737303;-0.14
45;1.8069179;-0.165
46;1.8402304;-0.191
47;1.8904804;-0.229
48;1.923793;-0.249
49;1.9742305;-0.263
50;2.0071055;-0.287
51;2.040418;-0.302
52;2.0905847;-0.316
53;2.1238556;-0.32
54;2.1736265;-0.32
55;2.207064;-0.32
56;2.2482724;-0.322
57;2.2911474;-0.323
58;2.3236891;-0.323
59;2.3748141;-0.327
60;2.4109392;-0.334
61;2.4407934;-0.336
62;2.4795642;-0.34
63;2.5248768;-0.342
64;2.5588768;-0.342
65;2.6070852;-0.342
66;2.6407935;-0.343
67;2.6907311;-0.347
68;2.7270644;-0.351
69;2.774752;-0.353
70;2.8070436;-0.358
71;2.8408145;-0.363
72;2.8906687;-0.369
73;2.9269812;-0.371
74;2.9591479;-0.371
75;3.0075438;-0.371
76;3.040773;-0.371
77;3.0905022;-0.371
78;3.1238356;-0.371
79;3.1754606;-0.371
80;3.2070648;-0.371
81;3.240544;-0.371
82;3.2914815;-0.371
83;3.3238149;-0.371
84;3.3738983;-0.371
85;3.4074399;-0.371
86;3.4402108;-0.371
87;3.4902942;-0.371
88;3.5241692;-0.371
89;3.5736901;-0.371
90;3.6076901;-0.371
91;3.6411068;-0.371
92;3.6901902;-0.371
93;3.7240444;-0.371
94;3.7738361;-0.371
95;3.8097111;-0.371
96;3.8403986;-0.371
97;3.8903987;-0.371
98;3.9240028;-0.371
99;3.9739821;-0.371
100;4.0070862;-0.371
101;4.0401279;-0.371
102;4.0933571;-0.371
103;4.1235655;-0.371
104;4.1735864;-0.371
105;4.2070031;-0.371
106;4.2403156;-0.371
107;4.2902948;-0.371
108;4.3236698;-0.371
109;4.3734824;-0.371
110;4.4070657;-0.371
111;4.4403783;-0.371
112;4.4903783;-0.371
113;4.5235242;-0.371
114;4.5736909;-0.371
115;4.6069825;-0.371
116;4.6405034;-0.371
117;4.6902118;-0.371
118;4.724066;-0.371
119;4.7736285;-0.371
120;4.8078785;-0.371
121;4.8402952;-0.371
122;4.8901078;-0.371
123;4.923587;-0.371
124;4.973712;-0.371
125;5.0071704;-0.371
126;5.0402329;-0.371
127;5.0901496;-0.371
128;5.1236913;-0.371
129;5.1736288;-0.371
130;5.2069622;-0.371
131;5.2403372;-0.371
132;5.2901706;-0.371
133;5.3236289;-0.371
134;5.3734206;-0.371
135;5.4071498;-0.371
136;5.4401915;-0.371
137;5.4902541;-0.371
138;5.5236083;-0.371
139;5.5582333;-0.371
140;5.6072958;-0.371
141;5.6408167;-0.371
142;5.6903584;-0.371
143;5.7236709;-0.371
144;5.773796;-0.371
145;5.8071918;-0.371
146;5.8404627;-0.371
147;5.8905669;-0.371
148;5.9238377;-0.371
149;5.9735461;-0.371
150;6.0069003;-0.371
151;6.0402545;-0.371
152;6.0901295;-0.371
153;6.1238171;-0.371
154;6.1735671;-0.371
155;6.2075671;-0.371
156;6.2401713;-0.371
157;6.2901505;-0.371
158;6.3235464;-0.371
159;6.3735048;-0.371
160;6.4068381;-0.371
161;6.4400465;-0.371
162;6.4902549;-0.371
163;6.523859;-0.371
164;6.5736299;-0.371
165;6.6070049;-0.371
166;6.6403383;-0.371
167;6.6903592;-0.371
168;6.7241925;-0.371
169;6.7736092;-0.371
170;6.8070676;-0.371
171;6.840276;-0.371
172;6.8904635;-0.371
173;6.9236302;-0.371
174;6.9740677;-0.371
175;7.0068386;-0.371
176;7.0403386;-0.371
177;7.0903595;-0.371
178;7.1233803;-0.371
179;7.1734846;-0.371
180;7.2069221;-0.371
181;7.2404429;-0.371
182;7.290068;-0.371
183;7.3237347;-0.371
184;7.373568;-0.371
185;7.4074014;-0.371
186;7.4403181;-0.371
187;7.4902973;-0.371
188;7.523589;-0.371
189;7.5734849;-0.371
190;7.6069432;-0.371
191;7.6402558;-0.371
192;7.6901516;-0.371
193;7.7236308;-0.371
194;7.7737767;-0.371
195;7.8071309;-0.371
196;7.8401517;-0.371
197;7.8900684;-0.371
198;7.9234851;-0.356
199;7.9742977;-0.356
200;8.0069852;-0.356
201;8.0400894;-0.374
202;8.0902769;-0.442
203;8.1235061;-0.509
204;8.1733603;-0.589
205;8.207027;-0.611
206;8.2402146;-0.629
207;8.2903188;-0.654
208;8.3237771;-0.696
209;8.3734855;-0.731
210;8.4070064;-0.74
211;8.4402564;-0.742
212;8.4903189;-0.742
213;8.5237773;-0.727
214;8.5736731;-0.674
215;8.6067773;-0.656
216;8.6400899;-0.647
217;8.6900066;-0.647
218;8.7236108;-0.645
219;8.7735066;-0.645
220;8.8077358;-0.645
221;8.8405484;-0.656
222;8.8901734;-0.658
223;8.9234651;-0.658
224;8.9734651;-0.663
225;9.0069235;-0.673
226;9.039986;-0.678
