Frame;TimeStamp;Value
0;0.518454;0
1;0.523623;0
2;0.565832;0
3;0.60828;0
4;0.641772;0
5;0.683212;0
6;0.726407;0
7;0.768728;0
8;0.801401;0
9;0.843073;0
10;0.885691;0
11;0.928729;0
12;0.960377;0
13;1.002955;0
14;1.045824;0
15;1.088615;0
16;1.12144;0
17;1.16405;0
18;1.206524;0
19;1.248251;0
20;1.280435;0
21;1.323468;0
22;1.366474;0
23;1.408604;0
24;1.440605;0
25;1.483227;0
26;1.525589;0
27;1.568987;0
28;1.600423;0
29;1.644456;0
30;1.685641;-0.001
31;1.728713;-0.001
32;1.760319;-0.001
33;1.804736;-0.001
34;1.84524;-0.001
35;1.889181;-0.001
36;1.920468;-0.001
37;1.963506;-0.001
38;2.006073;-0.001
39;2.04831;-0.001
40;2.080457;-0.001
41;2.12319;-0.001
42;2.165821;-0.001
43;2.208696;-0.001
44;2.241622;-0.001
45;2.28393;-0.001
46;2.326548;-0.001
47;2.369032;-0.001
48;2.401275;-0.001
49;2.443605;-0.001
50;2.487054;-0.001
51;2.528869;-0.001
52;2.56084;-0.001
53;2.603297;-0.001
54;2.646543;-0.001
55;2.689368;-0.001
56;2.721057;-0.001
57;2.763733;-0.001
58;2.806851;-0.001
59;2.848514;-0.001
60;2.880718;-0.002
61;2.92296;-0.11
62;2.966302;-0.237
63;3.011071;-0.244
64;3.041623;-0.246
65;3.084351;-0.319
66;3.125944;-0.436
67;3.169183;-0.481
68;3.202661;-0.488
69;3.243915;-0.49
70;3.285797;-0.49
71;3.329153;-0.49
72;3.361012;-0.492
73;3.40343;-0.676
74;3.446502;-1
75;3.488637;-1
76;3.521107;-1
77;3.563546;-1
78;3.605852;-1
79;3.648641;-1
80;3.681098;-1
81;3.723017;-1
82;3.766827;-1
83;3.809556;-1
84;3.840302;-1
85;3.883588;-1
86;3.926442;-1
87;3.968967;-1
88;4.001797;-1
89;4.044051;-1
90;4.08639;-1
91;4.128511;-1
92;4.161196;-1
93;4.205055;-1
94;4.246225;-1
95;4.28839;-0.752
96;4.323859;-0.594
97;4.363358;-0.523
98;4.407691;-0.505
99;4.448689;-0.503
100;4.480985;-0.503
101;4.523045;-0.536
102;4.56548;-0.65
103;4.609025;-0.738
104;4.641808;-0.741
105;4.684237;-0.741
106;4.726606;-0.741
107;4.768252;-0.741
108;4.80577;-0.741
109;4.843371;-0.741
110;4.885769;-0.754
111;4.928605;-0.861
112;4.961448;-1
113;5.003634;-1
114;5.046662;-1
115;5.089633;-1
116;5.121583;-0.874
117;5.163008;-0.636
118;5.206121;-0.521
119;5.249178;-0.514
120;5.281177;-0.516
121;5.32318;-0.581
122;5.366678;-0.805
123;5.413062;-0.974
124;5.440641;-1
125;5.483852;-1
126;5.526554;-1
127;5.568982;-1
128;5.601475;-1
129;5.643121;-1
130;5.686743;-1
131;5.728229;-1
132;5.760932;-1
133;5.803028;-1
134;5.845999;-1
135;5.889541;-1
136;5.921134;-1
137;5.963675;-1
138;6.005907;-1
139;6.048776;-0.989
140;6.080422;-0.909
141;6.123648;-0.872
142;6.165984;-0.87
143;6.210033;-0.86
144;6.24416;-0.847
145;6.283675;-0.845
146;6.32567;-0.845
147;6.368432;-0.843
148;6.401069;-0.838
149;6.444211;-0.823
150;6.48618;-0.809
151;6.529153;-0.807
152;6.560464;-0.785
153;6.603853;-0.763
154;6.645785;-0.752
155;6.688565;-0.752
156;6.720315;-0.752
157;6.763847;-0.752
158;6.806549;-0.752
159;6.849372;-0.752
160;6.880559;-0.752
161;6.923254;-0.752
162;6.965783;-0.752
163;7.00926;-0.752
164;7.040796;-0.752
165;7.084044;-0.752
166;7.12648;-0.752
167;7.168551;-0.752
168;7.20127;-0.752
169;7.243813;-0.752
170;7.28693;-0.752
171;7.32895;-0.752
172;7.360975;-0.752
173;7.403701;-0.752
174;7.446183;-0.752
175;7.488674;-0.752
176;7.521356;-0.752
177;7.563649;-0.752
178;7.605648;-0.752
179;7.648782;-0.752
180;7.681221;-0.752
181;7.722891;-0.752
182;7.766068;-0.752
183;7.80897;-0.752
184;7.841415;-0.752
185;7.883776;-0.752
186;7.926067;-0.752
187;7.968817;-0.752
188;8.000883;-0.752
189;8.043549;-0.752
190;8.086766;-0.752
191;8.129569;-0.752
192;8.161025;-0.752
193;8.202995;-0.752
194;8.246235;-0.752
195;8.28842;-0.752
196;8.321877;-0.752
197;8.363543;-0.752
198;8.405961;-0.752
199;8.449032;-0.752
200;8.481367;-0.752
201;8.523142;-0.752
202;8.566202;-0.752
203;8.608217;-0.752
204;8.64138;-0.752
205;8.683877;-0.752
206;8.725733;-0.752
207;8.768555;-0.752
208;8.800979;-0.752
209;8.843651;-0.752
210;8.886391;-0.752
211;8.929492;-0.752
212;8.9604;-0.752
213;9.003721;-0.752
214;9.046352;-0.752
215;9.088751;-0.752
216;9.121387;-0.752
217;9.163806;-0.752
218;9.206501;-0.752
219;9.249155;-0.752
220;9.281965;-0.752
221;9.323012;-0.752
222;9.366607;-0.752
223;9.408668;-0.752
224;9.441819;-0.752
225;9.483429;-0.752
226;9.525711;-0.752
227;9.569016;-0.752
228;9.600665;-0.752
229;9.643589;-0.752
230;9.685762;-0.752
231;9.729288;-0.752
232;9.760814;-0.752
233;9.80401;-0.752
234;9.845512;-0.752
235;9.88858;-0.752
236;9.920565;-0.752
237;9.9631;-0.752
238;10.006766;-0.752
239;10.048054;-0.752
240;10.080998;-0.752
241;10.123052;-0.752
242;10.166431;-0.752
243;10.208586;-0.752
244;10.240576;-0.752
245;10.282937;-0.752
246;10.32568;-0.752
247;10.368963;-0.752
248;10.400663;-0.752
249;10.443052;-0.752
250;10.48632;-0.752
251;10.528677;-0.752
252;10.56087;-0.752
253;10.6038;-0.752
254;10.645795;-0.752
255;10.688814;-0.752
256;10.72135;-0.752
257;10.763859;-0.752
258;10.80624;-0.752
259;10.848877;-0.752
260;10.880634;-0.752
261;10.92378;-0.752
262;10.966736;-0.752
263;11.009323;-0.752
264;11.040318;-0.752
265;11.08419;-0.752
266;11.125886;-0.752
267;11.16838;-0.752
268;11.200707;-0.752
269;11.243972;-0.752
270;11.285998;-0.752
271;11.329549;-0.752
272;11.361401;-0.752
273;11.40413;-0.752
274;11.446342;-0.752
275;11.488616;-0.752
276;11.521325;-0.752
277;11.563227;-0.752
278;11.606216;-0.752
279;11.64907;-0.752
280;11.681168;-0.752
281;11.723052;-0.752
282;11.765799;-0.752
283;11.808669;-0.752
284;11.840977;-0.752
285;11.884302;-0.752
286;11.925631;-0.752
287;11.968778;-0.759
288;12.000551;-0.769
289;12.04369;-0.789
290;12.086732;-0.81
291;12.128461;-0.816
292;12.160899;-0.825
293;12.203603;-0.83
294;12.245692;-0.83
295;12.2896;-0.83
296;12.32064;-0.83
297;12.36336;-0.83
298;12.406011;-0.83
299;12.462655;-0.83
300;12.480642;-0.83
301;12.523229;-0.825
302;12.566329;-0.809
303;12.608507;-0.77
304;12.640631;-0.763
305;12.683228;-0.749
306;12.725915;-0.698
307;12.769174;-0.688
308;12.801897;-0.688
309;12.842771;-0.688
310;12.885718;-0.688
311;12.928625;-0.688
312;12.961518;-0.688
313;13.003246;-0.688
314;13.046834;-0.688
315;13.088978;-0.688
316;13.120587;-0.688
317;13.163445;-0.688
318;13.205666;-0.688
319;13.249101;-0.688
320;13.281042;-0.688
321;13.324181;-0.688
322;13.365944;-0.688
323;13.408435;-0.688
324;13.440446;-0.688
325;13.483826;-0.688
326;13.525698;-0.688
327;13.568932;-0.688
328;13.600555;-0.688
329;13.643068;-0.688
330;13.685633;-0.688
331;13.728814;-0.688
332;13.761557;-0.683
333;13.803255;-0.681
334;13.846479;-0.681
335;13.888652;-0.676
336;13.920884;-0.676
337;13.963038;-0.674
338;14.006722;-0.672
339;14.048956;-0.67
340;14.081093;-0.668
341;14.123297;-0.643
342;14.166036;-0.61
343;14.208743;-0.61
344;14.240286;-0.608
345;14.283306;-0.608
346;14.326169;-0.608
347;14.369683;-0.61
348;14.401246;-0.612
349;14.443396;-0.612
350;14.485954;-0.612
351;14.529119;-0.612
352;14.5604;-0.636
353;14.603156;-0.661
354;14.646069;-0.67
355;14.688307;-0.685
356;14.720219;-0.692
357;14.76338;-0.723
358;14.806639;-0.725
359;14.848335;-0.727
360;14.880636;-0.729
361;14.92314;-0.736
362;14.966105;-0.749
363;15.009018;-0.749
364;15.041132;-0.749
365;15.083875;-0.749
366;15.125884;-0.749
367;15.168386;-0.749
368;15.200224;-0.749
369;15.243866;-0.749
370;15.28637;-0.749
371;15.328889;-0.747
372;15.361319;-0.743
373;15.408238;-0.743
374;15.445856;-0.743
375;15.489182;-0.743
376;15.521373;-0.743
377;15.563513;-0.743
378;15.605775;-0.745
379;15.648977;-0.752
380;15.68047;-0.754
381;15.72383;-0.754
382;15.766047;-0.756
383;15.809746;-0.758
384;15.841279;-0.758
385;15.883669;-0.758
386;15.925631;-0.758
387;15.969374;-0.759
388;16.000885;-0.759
389;16.043648;-0.759
390;16.086415;-0.759
391;16.129724;-0.759
392;16.161195;-0.759
393;16.204027;-0.759
394;16.245664;-0.759
395;16.28904;-0.759
396;16.320765;-0.759
397;16.363051;-0.759
398;16.406544;-0.759
399;16.449713;-0.759
400;16.480808;-0.759
401;16.52359;-0.759
402;16.565676;-0.759
403;16.609091;-0.759
404;16.64069;-0.759
405;16.683724;-0.759
406;16.72587;-0.759
