Frame;TimeStamp;Value
0;0.041584;0
1;0.080779;0
2;0.122186;0
3;0.160739;0
4;0.201579;0
5;0.240974;0
6;0.281553;0
7;0.320718;0
8;0.360774;0
9;0.401327;0
10;0.440782;0
11;0.481745;0
12;0.520674;0
13;0.560562;0
14;0.601487;0
15;0.640551;0
16;0.681279;0
17;0.721611;0
18;0.761134;0
19;0.801832;0
20;0.84105;0
21;0.880903;0
22;0.921551;0
23;0.962136;0
24;1.001607;0.03
25;1.041315;0.03
26;1.080534;0.03
27;1.120741;0.03
28;1.161105;0.03
29;1.201065;0.03
30;1.241145;0.03
31;1.28125;0.03
32;1.321569;0.03
33;1.361362;0.03
34;1.401434;0.03
35;1.440981;0.03
36;1.481552;0.03
37;1.520611;0.03
38;1.561389;0.032
39;1.603299;0.029
40;1.640537;0.039
41;1.680568;0.039
42;1.7208;0.039
43;1.762323;0.039
44;1.802942;0.039
45;1.841353;0.039
46;1.881188;0.034
47;1.922539;0.021
48;1.960703;0.009
49;2.001552;-0.022
50;2.041786;-0.088
51;2.08065;-0.123
52;2.12158;-0.163
53;2.16066;-0.19
54;2.202412;-0.255
55;2.241337;-0.286
56;2.280852;-0.317
57;2.320993;-0.339
58;2.36151;-0.368
59;2.403082;-0.43
60;2.441596;-0.457
61;2.482453;-0.51
62;2.521163;-0.592
63;2.560916;-0.641
64;2.603397;-0.668
65;2.641822;-0.678
66;2.682145;-0.678
67;2.720668;-0.678
68;2.760871;-0.679
69;2.801349;-0.679
70;2.840931;-0.679
71;2.881042;-0.679
72;2.921053;-0.679
73;2.960526;-0.679
74;3.002192;-0.679
75;3.040813;-0.69
76;3.080629;-0.723
77;3.121525;-0.841
78;3.161493;-0.854
79;3.203948;-0.854
80;3.240764;-0.854
81;3.280922;-0.854
82;3.321071;-0.854
83;3.360954;-0.854
84;3.401328;-0.854
85;3.440885;-0.854
86;3.480869;-0.854
87;3.521199;-0.854
88;3.561442;-0.854
89;3.601217;-0.854
90;3.640717;-0.854
91;3.686762;-0.854
92;3.721092;-0.854
93;3.760899;-0.854
94;3.804586;-0.854
95;3.841333;-0.854
96;3.886822;-0.854
97;3.920831;-0.854
98;3.960512;-0.854
99;4.001478;-0.854
100;4.041674;-0.854
101;4.080775;-0.854
102;4.120574;-0.854
103;4.161587;-0.854
104;4.200628;-0.854
105;4.240629;-0.854
106;4.280726;-0.854
107;4.321326;-0.854
108;4.361233;-0.854
109;4.402657;-0.854
110;4.441002;-0.854
111;4.481534;-0.854
112;4.520674;-0.854
113;4.561031;-0.854
114;4.600727;-0.854
115;4.641167;-0.854
116;4.681204;-0.854
117;4.721507;-0.854
118;4.761908;-0.854
119;4.803141;-0.854
120;4.841118;-0.854
121;4.881792;-0.854
122;4.920725;-0.854
123;4.96084;-0.854
124;5.002788;-0.854
125;5.040794;-0.854
126;5.081295;-0.854
127;5.120599;-0.854
128;5.16065;-0.854
129;5.204451;-0.854
130;5.240814;-0.854
131;5.280918;-0.854
132;5.322445;-0.854
133;5.361871;-0.854
134;5.400848;-0.854
135;5.440592;-0.854
136;5.481426;-0.854
137;5.520663;-0.854
138;5.56127;-0.854
139;5.600605;-0.854
140;5.640867;-0.854
141;5.680672;-0.854
142;5.722496;-0.854
143;5.760873;-0.854
144;5.806431;-0.854
145;5.842511;-0.854
146;5.881221;-0.854
147;5.921146;-0.854
148;5.961508;-0.854
149;6.001625;-0.854
150;6.040792;-0.854
151;6.080822;-0.854
152;6.120632;-0.854
153;6.161571;-0.854
154;6.201533;-0.854
155;6.242024;-0.854
156;6.281662;-0.854
157;6.321799;-0.854
158;6.362265;-0.854
159;6.404583;-0.854
160;6.440514;-0.854
161;6.480736;-0.854
162;6.520986;-0.854
163;6.561266;-0.854
164;6.600571;-0.854
165;6.641334;-0.854
166;6.681189;-0.854
167;6.72083;-0.854
168;6.761079;-0.854
169;6.80207;-0.854
170;6.840665;-0.854
171;6.880655;-0.854
172;6.921611;-0.854
173;6.960855;-0.854
174;7.000982;-0.854
175;7.041388;-0.854
176;7.080614;-0.854
177;7.120562;-0.854
178;7.160504;-0.854
179;7.202345;-0.854
180;7.241336;-0.854
181;7.281398;-0.854
182;7.321277;-0.854
183;7.361146;-0.854
184;7.402064;-0.854
185;7.440906;-0.854
186;7.480906;-0.854
187;7.520934;-0.854
188;7.561192;-0.854
189;7.603134;-0.854
190;7.641047;-0.854
191;7.680606;-0.854
192;7.720638;-0.854
193;7.760695;-0.854
194;7.802008;-0.854
195;7.841831;-0.854
196;7.881272;-0.854
197;7.920802;-0.854
198;7.960666;-0.854
199;8.000795;-0.854
200;8.040661;-0.854
201;8.080804;-0.854
202;8.120963;-0.854
