Frame;TimeStamp;Value
0;0.018558;0
1;0.02052;0
2;0.063953;0
3;0.106286;0
4;0.138016;0
5;0.180186;0
6;0.22341;0
7;0.26611;0
8;0.298661;0
9;0.341572;0
10;0.383717;0
11;0.426894;0
12;0.458145;0
13;0.500983;0
14;0.543749;0
15;0.585556;0
16;0.618175;0
17;0.66189;0
18;0.703003;0
19;0.746456;0
20;0.777967;0
21;0.820862;0
22;0.864642;0
23;0.906251;0
24;0.952159;-0.021
25;0.980687;-0.021
26;1.023.342;-0.021
27;1.065.935;-0.021
28;1.098.016;-0.021
29;1.141.183;-0.021
30;1.183.234;-0.021
31;1.225.941;-0.021
32;1.258.716;-0.021
33;1.301.381;-0.021
34;1.343.688;-0.028
35;1.386.098;-0.066
36;141.833;-0.092
37;1.460.398;-0.117
38;1.503.209;-0.277
39;1.546.326;-0.277
40;1.578.463;-0.277
41;1.621.323;-0.277
42;1.664.207;-0.277
43;1.706.425;-0.277
44;1.738.668;-0.277
45;1.782.189;-0.277
46;1.823.578;-0.277
47;1.866.413;-0.272
48;1.897.952;-0.266
49;1.940.355;-0.27
50;1.984.291;-0.312
51;2.026.466;-0.323
52;2.057.671;-0.332
53;2.100.282;-0.363
54;2.144.045;-0.372
55;2.186.171;-0.372
56;2.217.996;-0.374
57;2.262.663;-0.375
58;2.303.418;-0.375
59;2.345.894;-0.375
60;2.378.889;-0.377
61;2.420.494;-0.385
62;2.463.307;-0.394
63;2.506.248;-0.408
64;253.827;-0.408
65;2.580.795;-0.41
66;2.623.613;-0.416
67;2.665.981;-0.421
68;2.697.773;-0.425
69;2.740.197;-0.426
70;2.787.049;-0.456
71;282.564;-0.466
72;2.857.831;-0.466
73;2.900.652;-0.466
74;2.943.515;-0.466
75;2.987.612;-0.47
76;3.018.177;-0.476
77;3.061.503;-0.479
78;3.103.812;-0.483
79;3.146.284;-0.485
80;3.177.667;-0.486
81;3.220.464;-0.486
82;3.262.877;-0.486
83;3.306.561;-0.486
84;3.338.963;-0.486
85;3.380.559;-0.486
