frame, timestamp, x_0, x_16, y_21, y_8
1, 0.000, 0.0, 0.0, 0.0, 0.0
2, 0.040, 0.0, 0.0, 0.0, 0.0
3, 0.080, 0.0, 0.0, 0.0, 0.0
4, 0.120, 0.0, 0.0, 0.0, 0.0
5, 0.160, 0.0, 0.0, 0.0, 0.0
6, 0.200, 0.0, 0.0, 0.0, 0.0
7, 0.240, 0.0, 0.0, 0.0, 0.0
8, 0.280, 0.0, 0.0, 0.0, 0.0
9, 0.320, 0.0, 0.0, 0.0, 0.0
10, 0.360, 0.0, 0.0, 0.0, 0.0
11, 0.400, 0.0, 0.0, 0.0, 0.0
12, 0.440, 0.0, 0.0, 0.0, 0.0
13, 0.480, 0.0, 0.0, 0.0, 0.0
14, 0.520, 0.0, 0.0, 0.0, 0.0
15, 0.560, 0.0, 0.0, 0.0, 0.0
16, 0.600, 0.0, 0.0, 0.0, 0.0
17, 0.640, 0.0, 0.0, 0.0, 0.0
18, 0.680, 0.0, 0.0, 0.0, 0.0
19, 0.720, 0.0, 0.0, 0.0, 0.0
20, 0.759, 0.0, 0.0, 0.0, 0.0
21, 0.799, 0.0, 0.0, 0.0, 0.0
22, 0.839, 0.0, 0.0, 0.0, 0.0
23, 0.879, 0.0, 0.0, 0.0, 0.0
24, 0.919, 0.0, 0.0, 0.0, 0.0
25, 0.959, 0.0, 0.0, 0.0, 0.0
26, 0.999, 0.0, 0.0, 0.0, 0.0
27, 1.039, 0.0, 0.0, 0.0, 0.0
28, 1.079, 0.0, 0.0, 0.0, 0.0
29, 1.119, 0.0, 0.0, 0.0, 0.0
30, 1.159, 0.0, 0.0, 0.0, 0.0
31, 1.199, 0.0, 0.0, 0.0, 0.0
32, 1.239, 0.0, 0.0, 0.0, 0.0
33, 1.279, 0.0, 0.0, 0.0, 0.0
34, 1.319, 0.0, 0.0, 0.0, 0.0
35, 1.359, 0.0, 0.0, 0.0, 0.0
36, 1.399, 0.0, 0.0, 0.0, 0.0
37, 1.439, 0.0, 0.0, 0.0, 0.0
38, 1.479, 0.0, 0.0, 0.0, 0.0
39, 1.519, 0.0, 0.0, 0.0, 0.0
40, 1.559, 0.0, 0.0, 0.0, 0.0
41, 1.599, 0.0, 0.0, 0.0, 0.0
42, 1.639, 0.0, 0.0, 0.0, 0.0
43, 1.679, 0.0, 0.0, 0.0, 0.0
44, 1.719, 0.0, 0.0, 0.0, 0.0
45, 1.759, 0.0, 0.0, 0.0, 0.0
46, 1.799, 0.0, 0.0, 0.0, 0.0
47, 1.839, 0.0, 0.0, 0.0, 0.0
48, 1.879, 0.0, 0.0, 0.0, 0.0
49, 1.919, 463.2, 626.2, 299.9, 460.0
50, 1.959, 462.7, 625.7, 299.7, 459.2
51, 1.999, 463.1, 626.1, 299.1, 459.0
52, 2.039, 463.0, 624.8, 297.9, 458.8
53, 2.079, 463.7, 620.2, 296.8, 459.5
54, 2.119, 463.0, 622.1, 295.7, 460.8
55, 2.159, 463.3, 623.8, 294.8, 459.3
56, 2.199, 463.2, 624.3, 294.4, 457.9
57, 2.238, 464.7, 621.3, 294.3, 457.8
58, 2.278, 464.5, 621.2, 293.7, 458.5
59, 2.318, 464.4, 621.0, 292.3, 459.5
60, 2.358, 464.0, 621.9, 291.2, 459.6
61, 2.398, 464.2, 626.3, 290.7, 457.9
62, 2.438, 464.3, 629.3, 291.5, 456.8
63, 2.478, 466.0, 630.6, 291.9, 456.9
64, 2.518, 466.5, 631.0, 291.2, 456.0
65, 2.558, 466.8, 624.7, 289.6, 454.1
66, 2.598, 468.1, 626.4, 286.7, 450.8
67, 2.638, 469.5, 627.1, 283.7, 449.1
68, 2.678, 470.7, 628.6, 281.4, 447.6
69, 2.718, 468.9, 627.2, 280.3, 446.4
70, 2.758, 465.3, 631.1, 280.2, 446.4
71, 2.798, 463.5, 631.8, 281.1, 444.1
72, 2.838, 462.9, 631.4, 280.4, 443.7
73, 2.878, 463.1, 631.4, 279.4, 443.3
74, 2.918, 463.5, 631.7, 278.3, 443.4
75, 2.958, 463.2, 631.6, 276.5, 442.8
76, 2.998, 462.5, 630.9, 274.3, 440.0
77, 3.038, 461.7, 630.1, 271.4, 437.1
78, 3.078, 463.2, 630.3, 267.2, 435.0
79, 3.118, 463.5, 629.9, 264.1, 432.3
80, 3.158, 463.5, 629.6, 261.8, 429.9
81, 3.198, 463.3, 629.1, 261.2, 429.5
82, 3.238, 463.1, 628.6, 261.4, 430.2
83, 3.278, 463.1, 628.3, 263.1, 431.7
84, 3.318, 462.9, 627.9, 265.1, 433.4
85, 3.358, 461.9, 626.7, 267.0, 434.1
86, 3.398, 461.0, 626.1, 269.1, 435.5
87, 3.438, 460.0, 625.4, 270.7, 436.7
88, 3.478, 459.9, 625.2, 272.4, 438.5
89, 3.518, 460.1, 625.7, 274.3, 440.3
90, 3.558, 460.8, 626.2, 276.0, 441.5
91, 3.598, 460.9, 626.9, 277.0, 443.1
92, 3.638, 461.7, 627.7, 278.0, 444.9
93, 3.678, 462.4, 620.7, 279.6, 446.4
94, 3.718, 462.6, 622.8, 281.2, 446.9
95, 3.757, 462.5, 625.7, 281.0, 446.5
96, 3.797, 463.0, 626.7, 280.3, 447.6
97, 3.837, 463.5, 625.9, 281.3, 447.6
98, 3.877, 461.9, 624.3, 282.5, 448.0
99, 3.917, 461.2, 622.5, 284.3, 449.2
100, 3.957, 460.8, 621.1, 286.0, 450.4
101, 3.997, 460.2, 620.0, 287.8, 451.3
102, 4.037, 461.5, 621.7, 289.5, 452.9
103, 4.077, 461.7, 621.6, 291.7, 454.8
