frame, timestamp, x_0, x_16, y_21, y_8
1, 0.000, 0.0, 0.0, 0.0, 0.0
2, 0.040, 0.0, 0.0, 0.0, 0.0
3, 0.080, 0.0, 0.0, 0.0, 0.0
4, 0.120, 0.0, 0.0, 0.0, 0.0
5, 0.160, 0.0, 0.0, 0.0, 0.0
6, 0.200, 0.0, 0.0, 0.0, 0.0
7, 0.240, 0.0, 0.0, 0.0, 0.0
8, 0.280, 0.0, 0.0, 0.0, 0.0
9, 0.320, 0.0, 0.0, 0.0, 0.0
10, 0.360, 0.0, 0.0, 0.0, 0.0
11, 0.400, 0.0, 0.0, 0.0, 0.0
12, 0.440, 0.0, 0.0, 0.0, 0.0
13, 0.480, 0.0, 0.0, 0.0, 0.0
14, 0.520, 0.0, 0.0, 0.0, 0.0
15, 0.560, 0.0, 0.0, 0.0, 0.0
16, 0.600, 0.0, 0.0, 0.0, 0.0
17, 0.640, 0.0, 0.0, 0.0, 0.0
18, 0.680, 0.0, 0.0, 0.0, 0.0
19, 0.720, 0.0, 0.0, 0.0, 0.0
20, 0.760, 0.0, 0.0, 0.0, 0.0
21, 0.800, 0.0, 0.0, 0.0, 0.0
22, 0.840, 0.0, 0.0, 0.0, 0.0
23, 0.880, 0.0, 0.0, 0.0, 0.0
24, 0.920, 0.0, 0.0, 0.0, 0.0
25, 0.960, 0.0, 0.0, 0.0, 0.0
26, 1.000, 0.0, 0.0, 0.0, 0.0
27, 1.040, 0.0, 0.0, 0.0, 0.0
28, 1.080, 0.0, 0.0, 0.0, 0.0
29, 1.120, 0.0, 0.0, 0.0, 0.0
30, 1.160, 0.0, 0.0, 0.0, 0.0
31, 1.200, 0.0, 0.0, 0.0, 0.0
32, 1.240, 0.0, 0.0, 0.0, 0.0
33, 1.280, 0.0, 0.0, 0.0, 0.0
34, 1.320, 0.0, 0.0, 0.0, 0.0
35, 1.360, 0.0, 0.0, 0.0, 0.0
36, 1.400, 0.0, 0.0, 0.0, 0.0
37, 1.440, 0.0, 0.0, 0.0, 0.0
38, 1.480, 0.0, 0.0, 0.0, 0.0
39, 1.520, 0.0, 0.0, 0.0, 0.0
40, 1.560, 0.0, 0.0, 0.0, 0.0
41, 1.600, 0.0, 0.0, 0.0, 0.0
42, 1.640, 0.0, 0.0, 0.0, 0.0
43, 1.680, 0.0, 0.0, 0.0, 0.0
44, 1.720, 0.0, 0.0, 0.0, 0.0
45, 1.760, 0.0, 0.0, 0.0, 0.0
46, 1.800, 0.0, 0.0, 0.0, 0.0
47, 1.840, 0.0, 0.0, 0.0, 0.0
48, 1.880, 0.0, 0.0, 0.0, 0.0
49, 1.920, 326.6, 428.6, 121.3, 227.5
50, 1.960, 324.6, 426.9, 120.4, 224.8
51, 2.000, 323.0, 425.6, 119.5, 222.1
52, 2.040, 323.6, 425.5, 119.2, 222.1
53, 2.080, 324.2, 426.2, 119.5, 224.0
54, 2.120, 325.3, 427.7, 121.2, 225.7
55, 2.160, 326.2, 428.4, 122.6, 225.8
56, 2.200, 327.2, 429.8, 122.5, 225.3
57, 2.240, 328.0, 431.1, 122.3, 224.3
58, 2.280, 329.1, 432.6, 122.1, 223.7
59, 2.320, 330.1, 433.7, 122.5, 225.1
60, 2.360, 331.1, 435.2, 123.6, 226.9
61, 2.400, 332.3, 435.3, 125.1, 228.1
62, 2.440, 332.8, 436.0, 125.1, 228.9
63, 2.480, 332.9, 436.9, 124.3, 229.4
64, 2.520, 333.0, 437.7, 123.7, 229.8
65, 2.560, 332.8, 438.1, 123.5, 230.5
66, 2.600, 332.5, 438.1, 124.1, 231.7
67, 2.640, 331.8, 438.2, 125.0, 233.5
68, 2.680, 330.7, 437.4, 126.1, 235.5
69, 2.720, 329.6, 437.2, 127.8, 238.5
70, 2.760, 329.3, 437.5, 129.8, 241.4
71, 2.800, 328.8, 437.7, 131.9, 245.4
72, 2.840, 329.7, 437.7, 134.2, 248.8
73, 2.880, 329.3, 437.5, 135.0, 251.1
74, 2.920, 329.1, 438.2, 135.4, 251.8
75, 2.960, 328.9, 438.9, 135.5, 251.8
76, 3.000, 329.2, 438.5, 135.8, 250.9
77, 3.040, 329.0, 438.3, 136.1, 249.6
78, 3.080, 328.6, 438.4, 136.8, 248.4
79, 3.120, 328.4, 438.5, 137.1, 247.9
80, 3.160, 328.2, 438.7, 136.9, 248.5
81, 3.200, 328.3, 438.8, 136.6, 249.7
82, 3.240, 328.9, 439.5, 135.9, 249.7
83, 3.280, 329.5, 440.5, 134.8, 248.1
84, 3.320, 330.0, 441.0, 134.1, 247.1
85, 3.360, 330.7, 441.5, 134.7, 247.8
86, 3.400, 331.3, 441.6, 136.2, 249.6
87, 3.440, 332.5, 441.7, 139.5, 251.6
88, 3.480, 333.2, 442.0, 145.2, 254.9
89, 3.520, 333.1, 442.4, 151.8, 259.7
90, 3.560, 333.2, 442.4, 157.5, 264.4
91, 3.600, 333.4, 441.7, 160.3, 265.7
92, 3.640, 333.6, 442.4, 159.7, 265.9
93, 3.680, 334.1, 442.2, 158.7, 265.6
94, 3.720, 334.2, 442.0, 157.3, 265.3
95, 3.760, 334.2, 442.2, 155.6, 264.4
96, 3.800, 334.1, 442.4, 154.0, 263.8
97, 3.840, 333.9, 442.6, 152.2, 261.9
98, 3.880, 334.2, 442.9, 150.6, 260.3
99, 3.920, 334.6, 443.0, 150.1, 260.2
100, 3.960, 335.2, 443.8, 151.7, 260.6
101, 4.000, 335.7, 443.8, 154.7, 262.6
102, 4.040, 336.6, 445.2, 157.2, 263.8
103, 4.080, 338.3, 446.5, 158.9, 264.3
