frame, timestamp, x_0, x_16, y_21, y_8
1, 0.461, 604.7, 907.7, 372.6, 694.5
2, 0.750, 605.2, 905.7, 371.7, 690.5
3, 0.841, 600.4, 900.8, 371.3, 686.7
4, 0.938, 599.0, 898.3, 370.5, 685.0
5, 1.049, 596.5, 894.8, 370.0, 685.3
6, 1.149, 593.4, 890.2, 368.1, 683.2
7, 1.241, 591.1, 886.1, 364.8, 678.1
8, 1.344, 588.9, 883.0, 361.0, 677.0
9, 1.473, 587.5, 881.7, 359.5, 677.4
10, 1.561, 586.5, 880.4, 358.6, 674.9
11, 1.660, 584.2, 878.2, 351.9, 666.3
12, 1.738, 583.2, 875.4, 339.7, 651.6
13, 1.855, 580.4, 872.3, 330.8, 643.6
14, 1.947, 577.2, 869.2, 325.4, 637.2
15, 2.054, 570.0, 862.5, 317.8, 626.8
16, 2.143, 564.4, 855.0, 311.1, 621.0
17, 2.249, 558.2, 849.8, 306.3, 615.1
18, 2.345, 548.5, 836.9, 302.5, 606.8
19, 2.441, 534.2, 824.7, 296.3, 597.0
20, 2.542, 518.1, 806.9, 289.5, 587.7
21, 2.649, 500.3, 800.4, 281.0, 580.9
22, 2.748, 486.6, 799.0, 277.4, 577.6
23, 2.845, 479.0, 790.8, 271.7, 575.4
24, 2.943, 486.6, 785.9, 265.6, 569.1
25, 3.059, 433.2, 716.7, 267.7, 555.4
26, 3.359, 421.9, 702.4, 263.9, 554.1
27, 3.448, 412.5, 691.3, 261.1, 554.2
28, 3.658, 404.2, 663.9, 250.4, 553.4
29, 3.738, 300.6, 597.5, 246.6, 547.4
30, 3.984, 284.6, 581.3, 244.6, 544.1
31, 4.059, 257.1, 552.9, 237.7, 535.4
32, 4.157, 240.2, 539.1, 236.0, 533.8
33, 4.249, 227.4, 529.0, 233.5, 535.5
34, 4.345, 211.1, 515.7, 233.9, 534.7
35, 4.450, 195.7, 501.9, 233.3, 534.0
36, 4.554, 186.0, 490.3, 231.4, 532.4
37, 4.658, 179.5, 479.5, 229.5, 530.0
38, 4.751, 167.0, 473.1, 231.8, 525.1
39, 4.841, 152.6, 456.0, 233.4, 525.9
40, 4.963, 138.9, 444.1, 233.8, 526.9
41, 5.090, 126.2, 418.2, 235.7, 529.7
42, 5.170, 119.5, 395.9, 234.1, 527.7
43, 5.241, 105.5, 379.0, 231.8, 523.6
44, 5.353, 101.8, 361.5, 230.4, 522.7
45, 5.455, 88.5, 354.4, 230.1, 525.3
46, 5.563, 85.6, 352.3, 230.6, 525.4
47, 5.661, 83.2, 349.3, 230.8, 524.5
48, 5.753, 79.6, 345.7, 231.3, 523.1
49, 5.849, 76.9, 342.3, 230.1, 520.8
50, 5.945, 74.9, 342.8, 232.1, 522.0
51, 6.043, 74.5, 343.8, 230.0, 520.6
52, 6.153, 75.1, 344.7, 230.8, 519.3
53, 6.250, 74.3, 346.7, 229.2, 517.9
54, 6.364, 72.0, 344.7, 228.4, 518.5
55, 6.441, 69.3, 344.0, 227.7, 517.4
56, 6.553, 67.7, 342.4, 226.1, 514.6
57, 6.690, 66.3, 342.2, 226.2, 516.0
58, 6.775, 64.8, 342.0, 226.8, 514.8
59, 6.850, 63.5, 342.0, 226.8, 517.2
60, 6.962, 60.4, 341.1, 227.5, 517.5
61, 7.066, 57.5, 336.2, 229.0, 518.9
62, 7.161, 57.4, 324.1, 228.9, 519.0
63, 7.283, 52.5, 317.8, 231.2, 522.6
64, 7.354, 47.6, 312.9, 230.2, 521.1
65, 7.449, 40.4, 302.9, 231.2, 528.0
66, 7.546, 35.4, 297.3, 230.9, 525.8
67, 7.658, 24.5, 294.3, 231.0, 526.6
68, 7.753, 12.9, 290.1, 231.7, 523.3
69, 7.850, 5.0, 283.9, 232.0, 523.4
70, 7.948, 5.1, 279.6, 233.5, 525.7
71, 8.041, 4.3, 275.5, 235.1, 527.4
72, 8.161, 1.1, 273.2, 235.4, 528.5
73, 8.253, -1.2, 270.7, 237.3, 533.6
74, 8.349, -4.8, 270.0, 238.3, 529.8
75, 8.442, -3.3, 267.0, 237.6, 531.9
76, 8.554, -0.9, 268.0, 239.4, 535.1
77, 8.650, -1.4, 267.8, 240.0, 535.8
78, 8.754, -3.6, 265.6, 240.6, 533.9
79, 8.854, -4.5, 262.9, 240.8, 537.3
80, 8.962, -3.9, 255.8, 239.7, 539.7
81, 9.073, -9.5, 250.1, 240.8, 540.9
82, 9.145, -10.7, 245.3, 241.2, 542.3
83, 9.262, -15.4, 240.8, 243.3, 536.7
84, 9.369, -20.9, 234.5, 244.4, 538.3
85, 9.449, -28.5, 227.2, 247.2, 531.4
86, 9.554, -31.9, 221.7, 248.4, 535.0
87, 9.675, -38.8, 217.4, 249.5, 534.7
88, 9.762, -38.4, 214.5, 251.8, 527.5
