frame, timestamp, x_0, x_16, y_21, y_8
1, 0.000, 0.0, 0.0, 0.0, 0.0
2, 0.040, 0.0, 0.0, 0.0, 0.0
3, 0.080, 0.0, 0.0, 0.0, 0.0
4, 0.120, 0.0, 0.0, 0.0, 0.0
5, 0.160, 0.0, 0.0, 0.0, 0.0
6, 0.200, 0.0, 0.0, 0.0, 0.0
7, 0.240, 0.0, 0.0, 0.0, 0.0
8, 0.280, 0.0, 0.0, 0.0, 0.0
9, 0.320, 0.0, 0.0, 0.0, 0.0
10, 0.360, 0.0, 0.0, 0.0, 0.0
11, 0.400, 0.0, 0.0, 0.0, 0.0
12, 0.440, 0.0, 0.0, 0.0, 0.0
13, 0.480, 0.0, 0.0, 0.0, 0.0
14, 0.520, 0.0, 0.0, 0.0, 0.0
15, 0.560, 0.0, 0.0, 0.0, 0.0
16, 0.600, 0.0, 0.0, 0.0, 0.0
17, 0.640, 0.0, 0.0, 0.0, 0.0
18, 0.680, 0.0, 0.0, 0.0, 0.0
19, 0.720, 0.0, 0.0, 0.0, 0.0
20, 0.760, 0.0, 0.0, 0.0, 0.0
21, 0.800, 0.0, 0.0, 0.0, 0.0
22, 0.840, 0.0, 0.0, 0.0, 0.0
23, 0.880, 0.0, 0.0, 0.0, 0.0
24, 0.920, 0.0, 0.0, 0.0, 0.0
25, 0.960, 0.0, 0.0, 0.0, 0.0
26, 1.000, 0.0, 0.0, 0.0, 0.0
27, 1.040, 0.0, 0.0, 0.0, 0.0
28, 1.080, 0.0, 0.0, 0.0, 0.0
29, 1.120, 0.0, 0.0, 0.0, 0.0
30, 1.160, 0.0, 0.0, 0.0, 0.0
31, 1.200, 0.0, 0.0, 0.0, 0.0
32, 1.240, 0.0, 0.0, 0.0, 0.0
33, 1.280, 0.0, 0.0, 0.0, 0.0
34, 1.320, 0.0, 0.0, 0.0, 0.0
35, 1.360, 0.0, 0.0, 0.0, 0.0
36, 1.400, 0.0, 0.0, 0.0, 0.0
37, 1.440, 0.0, 0.0, 0.0, 0.0
38, 1.480, 0.0, 0.0, 0.0, 0.0
39, 1.520, 0.0, 0.0, 0.0, 0.0
40, 1.560, 0.0, 0.0, 0.0, 0.0
41, 1.600, 0.0, 0.0, 0.0, 0.0
42, 1.640, 0.0, 0.0, 0.0, 0.0
43, 1.680, 0.0, 0.0, 0.0, 0.0
44, 1.720, 0.0, 0.0, 0.0, 0.0
45, 1.760, 0.0, 0.0, 0.0, 0.0
46, 1.800, 0.0, 0.0, 0.0, 0.0
47, 1.840, 0.0, 0.0, 0.0, 0.0
48, 1.880, 0.0, 0.0, 0.0, 0.0
49, 1.920, 346.2, 455.0, 147.4, 239.7
50, 1.960, 346.7, 455.5, 145.8, 239.2
51, 2.000, 347.7, 455.9, 144.9, 239.4
52, 2.040, 348.6, 456.6, 144.4, 239.2
53, 2.080, 349.4, 457.0, 144.5, 238.8
54, 2.120, 350.0, 457.0, 144.6, 238.5
55, 2.160, 350.8, 457.2, 144.9, 238.1
56, 2.200, 352.0, 458.2, 145.9, 237.9
57, 2.240, 353.5, 458.0, 146.8, 238.1
58, 2.280, 354.6, 458.1, 148.2, 239.4
59, 2.320, 356.5, 457.2, 149.2, 241.5
60, 2.360, 357.5, 456.8, 150.5, 242.1
61, 2.400, 357.6, 456.2, 151.8, 243.3
62, 2.440, 357.4, 455.1, 154.7, 244.5
63, 2.480, 356.3, 453.1, 154.9, 244.9
64, 2.520, 353.7, 450.0, 154.0, 244.9
65, 2.560, 350.0, 447.0, 153.5, 244.6
66, 2.600, 347.0, 443.9, 153.7, 244.8
67, 2.640, 343.9, 441.4, 153.6, 243.9
68, 2.680, 340.8, 439.7, 153.1, 243.3
69, 2.720, 336.8, 438.4, 152.2, 242.6
70, 2.760, 333.3, 438.1, 150.1, 241.1
71, 2.800, 330.8, 437.2, 148.3, 240.0
72, 2.840, 329.1, 436.5, 145.8, 238.4
73, 2.880, 327.3, 435.8, 143.4, 236.3
74, 2.920, 325.0, 431.7, 140.6, 235.1
75, 2.960, 322.7, 427.2, 138.5, 234.5
76, 3.000, 320.6, 425.4, 137.1, 234.9
77, 3.040, 318.7, 424.1, 136.4, 235.4
78, 3.080, 317.1, 424.2, 135.8, 236.1
79, 3.120, 316.6, 423.7, 136.7, 236.9
80, 3.160, 316.7, 422.9, 137.8, 235.9
81, 3.200, 317.2, 422.4, 138.7, 235.3
82, 3.240, 317.8, 422.7, 139.2, 235.0
83, 3.280, 318.2, 422.9, 137.9, 233.9
84, 3.320, 318.6, 423.1, 136.0, 230.8
85, 3.360, 318.3, 423.6, 134.0, 230.3
86, 3.400, 318.0, 424.0, 132.9, 232.3
87, 3.440, 318.2, 424.3, 132.2, 234.2
88, 3.480, 318.8, 424.9, 131.8, 233.4
89, 3.520, 320.0, 426.1, 131.9, 231.0
90, 3.560, 321.6, 427.7, 132.4, 229.6
91, 3.600, 322.9, 429.1, 133.6, 230.0
92, 3.640, 324.3, 430.9, 135.0, 231.6
93, 3.680, 325.7, 432.2, 135.5, 232.4
94, 3.720, 326.9, 434.0, 135.3, 232.1
95, 3.760, 327.8, 435.3, 134.7, 231.7
96, 3.800, 328.6, 435.8, 134.5, 230.6
97, 3.840, 329.6, 436.9, 134.2, 229.0
98, 3.880, 330.1, 437.4, 133.9, 229.4
99, 3.920, 331.0, 438.2, 133.8, 230.3
100, 3.960, 331.7, 439.2, 134.3, 230.5
101, 4.000, 332.4, 439.4, 134.7, 231.5
102, 4.040, 332.5, 439.9, 135.2, 233.7
103, 4.080, 332.2, 440.0, 135.5, 233.1
